fips,white,black,hispanic,asian,no_high_sch,high_sch%,some_col%,college%,unemployment,med_hh_income,med_hh_income_pct_state,rural_urban_continuum,urban_influence,metro_code,population,pop_change,nat_incr_rate,intl_migration,poverty_pct,child_poverty,ppl_per_sq_mi,majority
01001,77.2,19.3,2.4,0.9,11.5,33.6,28.4,26.6,2.7,58233,112.4818878,2,2,1,55869,336,1.5,-16,12.1,2040,91.8,R
01003,83.5,10.9,4.4,0.7,9.2,27.7,31.3,31.9,2.7,59871,115.6458282,3,2,1,223234,5379,-0.1,80,10.1,6323,114.6,R
01005,46.8,47.8,5.1,0.4,26.8,35.6,26,11.6,3.8,35972,69.48291779,6,6,0,24686,-186,-2.3,13,27.1,2050,31,R
01007,75,22.9,1.8,0.1,20.9,44.9,23.8,10.4,3.1,47918,92.55760956,1,1,1,22394,27,-0.5,10,20.3,1147,36.8,R
01009,88.90000000000002,2.5,8.1,0.20000000000000004,19.5,33.4,34,13.1,2.7,52902,102.1846237,1,1,1,57826,55,-0.1,6,16.3,2750,88.9,R
01011,21.9,71,7.1,0.2,25.3,40.3,22.3,12.1,3.6,31906,61.62909698,6,6,0,10101,-73,0,-1,30,825,17.5,D
01013,54.099999999999994,44.2,0.8999999999999999,0.8000000000000002,15,45.2,23.7,16.1,3.6,39944,77.15516663,6,6,0,19448,-183,-3,18,21.6,1460,27,R
01015,73.6,22.2,3.3,0.7,15.6,32.8,33.2,18.5,3.5,47747,92.22731018,3,2,1,113605,-726,-2.3,14,17.2,5878,195.7,R
01017,58.1,39.9,1.6,0.5,18.4,36.7,31.6,13.3,2.9,42015,81.1554718,6,5,0,33254,-346,-2.6,6,19.6,2058,57.4,R
01019,92.1,6.1,1.2,0.2,18.4,40.3,28.6,12.8,2.9,45982,88.81806183,6,6,0,26196,182,-4.6,-3,15.9,1135,46.9,R
01021,81.1,10.9,7.799999999999999,0.3,18.2,44.4,24.6,12.7,2.7,49692,95.98423767,1,1,1,44428,265,1.1,35,16,2404,63,R
01023,55.6,43.8,0.5,0.1,18.6,37.7,31.8,11.9,4.7,39808,76.89247131,9,10,0,12589,-244,-3.4,-2,22.6,745,15.2,R
01025,54,44.6,1,0.3,19.4,41.8,26.6,12.2,5.8,43822,84.64584351,7,11,0,23622,-296,-2.4,-5,18.4,1425,20.9,R
01027,80.29999999999998,16.5,2.8999999999999995,0.2,23.3,37.8,28.3,10.6,3,40562,78.34888458,9,10,0,13235,-59,-3.3,-2,16.6,685,23.1,R
01029,93.2,4.4,2.1,0.2,21,38,25.6,15.4,3.2,51276,99.04386902,8,4,0,14910,-100,-0.1,-11,13.3,591,26.7,R
01031,72.3,19.2,6.4,1.3,14.1,27.2,35.9,22.8,2.9,57299,110.6777954,4,5,0,52342,392,0.6,34,15,2664,73.6,R
01033,79.6,17.7,2,0.4,14.8,37.8,29.2,18.1,3.7,46683,90.17210388,3,2,1,55241,237,-1.6,73,14.6,2204,91.8,R
01035,51.1,47.5,1.2,0.10000000000000002,15.7,51.1,20.4,12.8,4,41539,80.23603821,7,11,0,12067,-225,-4.8,1,22.2,845,15.6,R
